condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.8799999952316284,0.32496151328086853,30.705280303955078,8.874770164489746,50.0,0.0,0.6141056418418884,0.17749540507793427,0.8500000238418579,0.3570714294910431,depth_goal_dr_seed1
cube_ood,100,0.2199999988079071,0.4142463505268097,14.427345275878906,10.779608726501465,50.0,0.0,0.2885468900203705,0.2155921757221222,0.2199999988079071,0.4142463505268097,depth_goal_dr_seed1
goal_near,100,0.9599999785423279,0.195959210395813,36.95263671875,4.176267147064209,50.0,0.0,0.7390525937080383,0.08352533727884293,0.9599999785423279,0.195959210395813,depth_goal_dr_seed1
goal_far,100,0.009999999776482582,0.09949874877929688,6.081812858581543,3.4720311164855957,50.0,0.0,0.1216362789273262,0.06944061815738678,0.009999999776482582,0.09949874877929688,depth_goal_dr_seed1
qpos_shift,100,0.75,0.4330126941204071,28.220808029174805,11.26850414276123,50.0,0.0,0.5644161701202393,0.22537007927894592,0.7200000286102295,0.4489988386631012,depth_goal_dr_seed1
episode_combined,100,0.07999999821186066,0.27129319310188293,8.057940483093262,5.219742298126221,50.0,0.0,0.16115882992744446,0.10439485311508179,0.07999999821186066,0.27129319310188293,depth_goal_dr_seed1
mass_low,100,0.8700000047683716,0.3363034129142761,30.801990509033203,8.671823501586914,50.0,0.0,0.6160397529602051,0.1734364777803421,0.8600000143051147,0.3469870090484619,depth_goal_dr_seed1
mass_high,100,0.8700000047683716,0.3363034427165985,30.89626693725586,8.746198654174805,50.0,0.0,0.6179252862930298,0.17492398619651794,0.8399999737739563,0.36660605669021606,depth_goal_dr_seed1
friction_low,100,0.8600000143051147,0.3469870090484619,30.966320037841797,9.224404335021973,50.0,0.0,0.6193264126777649,0.18448807299137115,0.8500000238418579,0.3570714294910431,depth_goal_dr_seed1
friction_high,100,0.8199999928474426,0.3841874301433563,29.845802307128906,9.737319946289062,50.0,0.0,0.5969160199165344,0.19474640488624573,0.7900000214576721,0.4073082506656647,depth_goal_dr_seed1
physics_combined,100,0.8899999856948853,0.3128897547721863,31.21011734008789,8.934810638427734,50.0,0.0,0.6242023706436157,0.17869621515274048,0.8799999952316284,0.32496151328086853,depth_goal_dr_seed1
full_combined,100,0.10999999940395355,0.3128897547721863,9.355123519897461,6.986577033996582,50.0,0.0,0.18710245192050934,0.1397315412759781,0.10999999940395355,0.3128897547721863,depth_goal_dr_seed1
